Description:
The MacAdam limits are the boundaries of the set of surface reflectance colours,
when viewed in a given illuminant.  The Munsell renotation [Newhall1943] expresses
Munsell colours (which are surface reflectance colours) in xyY coordinates, with
respect to illuminant C.  Table I of [Newhall1943] lists xyY coordinates for
Munsell colours defined by 40 hue designations, 9 integer values, and even chromas.
The MacAdam limit colours occur when, for a given hue and value, the chroma
reaches a physically realizable maximum.  The data in this file lists the maximum
chromas that appear in Table I of [Newhall1943].
This file was generated by the routine MakeRenotationMacAdamLimitMatrix.m, which
has been contributed to ColorLab, an open source set of colour-related routines
for Matlab or Octave.  That routine reads in the renotation data from the file
MunsellRenotation.txt, which is a modified version of the file real.dat, obtained
from [MCSL2010].
The data in this file is expected to be useful when inverting the Munsell renotation,
and when determining what colours are within the MacAdam limits.  For ease of use,
the data has also been saved in the Matlab file MaxChromasInRenotationData.mat,
which can be loaded directly into Matlab or Octave.
Since this file is based on renotation data, every maximum chroma listed is an even
integer.  Another file, MaxChromasForStandardMunsellHuesAndValues.txt, based on
extrapolations of the renotation data, gives more accurate estimates of maximum
chroma, which are not required to be integers.

[MCSL2010] http://www.cis.rit.edu/mcsl/online/munsell.php, as of June 12, 2010.
[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.
DESCRIPTION ENDS HERE
  H	V	Maximum Chroma (MacAdam limit)
2.5R 	1	10
2.5R 	2	14
2.5R 	3	16
2.5R 	4	18
2.5R 	5	20
2.5R 	6	18
2.5R 	7	16
2.5R 	8	10
2.5R 	9	6
5R 	1	10
5R 	2	14
5R 	3	16
5R 	4	18
5R 	5	20
5R 	6	18
5R 	7	14
5R 	8	10
5R 	9	6
7.5R 	1	10
7.5R 	2	14
7.5R 	3	16
7.5R 	4	20
7.5R 	5	20
7.5R 	6	18
7.5R 	7	16
7.5R 	8	10
7.5R 	9	6
10R 	1	10
10R 	2	14
10R 	3	14
10R 	4	16
10R 	5	18
10R 	6	18
10R 	7	16
10R 	8	10
10R 	9	6
2.5YR	1	8
2.5YR	2	8
2.5YR	3	10
2.5YR	4	12
2.5YR	5	16
2.5YR	6	18
2.5YR	7	20
2.5YR	8	12
2.5YR	9	6
5YR	1	4
5YR	2	6
5YR	3	8
5YR	4	12
5YR	5	14
5YR	6	18
5YR	7	20
5YR	8	14
5YR	9	6
7.5YR	1	2
7.5YR	2	6
7.5YR	3	8
7.5YR	4	10
7.5YR	5	14
7.5YR	6	16
7.5YR	7	18
7.5YR	8	20
7.5YR	9	8
10YR	1	2
10YR	2	4
10YR	3	8
10YR	4	10
10YR	5	12
10YR	6	14
10YR	7	18
10YR	8	20
10YR	9	8
2.5Y 	1	2
2.5Y 	2	4
2.5Y 	3	6
2.5Y 	4	10
2.5Y 	5	12
2.5Y 	6	14
2.5Y 	7	16
2.5Y 	8	20
2.5Y 	9	12
