Description:
The MacAdam limits are the boundaries of the set of surface reflectance colours,
when viewed in a given illuminant.  The Munsell renotation [Newhall1943] expresses
Munsell colours (which are surface reflectance colours) in xyY coordinates, with
respect to illuminant C.  The MacAdam limit colours occur when,
for a given hue and value, the chroma reaches a physically realizable maximum.
To aid in interpolation and inversion algorithms, the Munsell renotation data
has been extrapolated.  Some of the extrapolated Munsell "colours" are not
physically realizable, because they are beyond the MacAdam limits, and their
renotations might have negative values for the xy chromaticity coordinates.
This file lists the maximum Munsell chroma, for a given Munsell hue and value,
for which an extrapolated renotation value is available.
This file was generated by the routine MakeMaxExtRenChromaMatrix.m, which
has been contributed to ColorLab, an open source set of colour-related routines
for Matlab or Octave.  That routine reads in the renotation data from the file
ExtrapolatedMunsellRenotation.txt, which is a modified version of the file all.dat,
obtained from [MCSL2010].  For ease of use,
the data has also been saved in the Matlab file MaxChromaForExtrapolatedRenotation.mat,
which can be loaded directly into Matlab or Octave.
The chromas in this file only apply to the extrapolated data, and might not correspond
to physically possible chromas.  Another file, MaxChromasForStandardMunsellHuesAndValues.txt,
gives estimates of physically possible maximum chroma.

[MCSL2010] http://www.cis.rit.edu/mcsl/online/munsell.php, as of June 12, 2010.
[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.
DESCRIPTION ENDS HERE
  H	V	Maximum Chroma (MacAdam limit)
2.5R 	1	14
2.5R 	2	16
2.5R 	3	20
2.5R 	4	24
2.5R 	5	28
2.5R 	6	28
2.5R 	7	24
2.5R 	8	20
2.5R 	9	14
5R 	1	12
5R 	2	16
5R 	3	20
5R 	4	24
5R 	5	28
5R 	6	30
5R 	7	24
5R 	8	18
5R 	9	12
7.5R 	1	12
7.5R 	2	16
7.5R 	3	20
7.5R 	4	24
7.5R 	5	28
7.5R 	6	30
7.5R 	7	26
7.5R 	8	20
7.5R 	9	14
10R 	1	12
10R 	2	16
10R 	3	20
10R 	4	24
10R 	5	26
10R 	6	30
10R 	7	26
10R 	8	26
10R 	9	16
2.5YR	1	12
2.5YR	2	16
2.5YR	3	16
2.5YR	4	18
2.5YR	5	20
2.5YR	6	22
2.5YR	7	24
2.5YR	8	26
2.5YR	9	18
5YR	1	10
5YR	2	10
5YR	3	12
5YR	4	14
5YR	5	18
5YR	6	20
5YR	7	22
5YR	8	26
5YR	9	26
7.5YR	1	6
7.5YR	2	8
7.5YR	3	10
7.5YR	4	14
7.5YR	5	16
7.5YR	6	20
7.5YR	7	22
7.5YR	8	24
7.5YR	9	26
10YR	1	4
10YR	2	8
10YR	3	10
10YR	4	12
10YR	5	16
10YR	6	18
10YR	7	20
10YR	8	22
10YR	9	24
2.5Y 	1	4
2.5Y 	2	8
2.5Y 	3	10
2.5Y 	4	12
2.5Y 	5	14
2.5Y 	6	18
2.5Y 	7	20
2.5Y 	8	22
2.5Y 	9	24
5Y 	1	4
5Y 	2	6
5Y 	3	8
5Y 	4	12
5Y 	5	14
5Y 	6	16
5Y 	7	20
5Y 	8	22
5Y 	9	24
7.5Y 	1	4
7.5Y 	2	6
7.5Y 	3	8
7.5Y 	4	12
7.5Y 	5	14
7.5Y 	6	16
7.5Y 	7	18
7.5Y 	8	20
7.5Y 	9	22
10Y 	1	4
10Y 	2	6
10Y 	3	8
10Y 	4	12
10Y 	5	14
10Y 	6	16
10Y 	7	18
10Y 	8	20
10Y 	9	22
2.5GY	1	6
2.5GY	2	8
2.5GY	3	10
2.5GY	4	12
2.5GY	5	14
2.5GY	6	16
2.5GY	7	18
2.5GY	8	22
2.5GY	9	22
5GY	1	6
5GY	2	10
5GY	3	12
5GY	4	14
5GY	5	16
5GY	6	18
5GY	7	20
5GY	8	22
5GY	9	22
7.5GY	1	8
7.5GY	2	14
7.5GY	3	14
7.5GY	4	18
7.5GY	5	20
7.5GY	6	22
7.5GY	7	24
7.5GY	8	28
7.5GY	9	28
10GY	1	10
10GY	2	18
10GY	3	24
10GY	4	28
10GY	5	32
10GY	6	32
10GY	7	32
10GY	8	32
10GY	9	28
2.5G 	1	10
2.5G 	2	18
2.5G 	3	24
2.5G 	4	30
2.5G 	5	32
2.5G 	6	34
2.5G 	7	34
2.5G 	8	32
2.5G 	9	28
5G 	1	10
5G 	2	18
5G 	3	24
5G 	4	30
5G 	5	32
5G 	6	34
5G 	7	34
5G 	8	32
5G 	9	28
7.5G 	1	10
7.5G 	2	18
7.5G 	3	24
7.5G 	4	30
7.5G 	5	32
7.5G 	6	34
7.5G 	7	34
7.5G 	8	30
7.5G 	9	24
10G 	1	10
10G 	2	18
10G 	3	24
10G 	4	30
10G 	5	32
10G 	6	34
10G 	7	32
10G 	8	28
10G 	9	24
2.5BG	1	10
2.5BG	2	18
2.5BG	3	24
2.5BG	4	28
2.5BG	5	32
2.5BG	6	32
2.5BG	7	32
2.5BG	8	26
2.5BG	9	22
5BG	1	10
5BG	2	16
5BG	3	22
5BG	4	26
5BG	5	30
5BG	6	30
5BG	7	30
5BG	8	26
5BG	9	20
7.5BG	1	8
7.5BG	2	16
7.5BG	3	20
7.5BG	4	24
7.5BG	5	26
7.5BG	6	26
7.5BG	7	26
7.5BG	8	24
7.5BG	9	18
10BG	1	8
10BG	2	14
10BG	3	18
10BG	4	22
10BG	5	24
10BG	6	24
10BG	7	24
10BG	8	22
10BG	9	18
2.5B 	1	8
2.5B 	2	12
2.5B 	3	16
2.5B 	4	20
2.5B 	5	20
2.5B 	6	22
2.5B 	7	22
2.5B 	8	20
2.5B 	9	16
5B 	1	10
5B 	2	12
5B 	3	16
5B 	4	18
5B 	5	20
5B 	6	20
5B 	7	20
5B 	8	18
5B 	9	16
7.5B 	1	10
7.5B 	2	14
7.5B 	3	16
7.5B 	4	18
7.5B 	5	20
7.5B 	6	22
7.5B 	7	20
7.5B 	8	16
7.5B 	9	12
10B 	1	10
10B 	2	14
10B 	3	18
10B 	4	20
10B 	5	22
10B 	6	24
10B 	7	20
10B 	8	14
10B 	9	10
2.5PB	1	14
2.5PB	2	18
2.5PB	3	22
2.5PB	4	24
2.5PB	5	24
2.5PB	6	24
2.5PB	7	18
2.5PB	8	14
2.5PB	9	10
5PB	1	38
5PB	2	38
5PB	3	38
5PB	4	38
5PB	5	32
5PB	6	26
5PB	7	18
5PB	8	14
5PB	9	10
7.5PB	1	38
7.5PB	2	38
7.5PB	3	38
7.5PB	4	38
7.5PB	5	34
7.5PB	6	26
7.5PB	7	20
7.5PB	8	14
7.5PB	9	10
10PB	1	38
10PB	2	38
10PB	3	38
10PB	4	38
10PB	5	36
10PB	6	28
10PB	7	22
10PB	8	16
10PB	9	10
2.5 P	1	38
2.5 P	2	38
2.5 P	3	38
2.5 P	4	38
2.5 P	5	38
2.5 P	6	32
2.5 P	7	24
2.5 P	8	18
2.5 P	9	10
5P 	1	32
5P 	2	36
5P 	3	38
5P 	4	38
5P 	5	38
5P 	6	36
5P 	7	28
5P 	8	22
5P 	9	14
7.5P 	1	26
7.5P 	2	30
7.5P 	3	38
7.5P 	4	38
7.5P 	5	38
7.5P 	6	36
7.5P 	7	30
7.5P 	8	26
7.5P 	9	16
10P 	1	24
10P 	2	28
10P 	3	34
10P 	4	38
10P 	5	38
10P 	6	36
10P 	7	30
10P 	8	26
10P 	9	16
2.5RP	1	22
2.5RP	2	26
2.5RP	3	30
2.5RP	4	34
2.5RP	5	36
2.5RP	6	36
2.5RP	7	30
2.5RP	8	26
2.5RP	9	16
5RP	1	20
5RP	2	22
5RP	3	26
5RP	4	30
5RP	5	32
5RP	6	32
5RP	7	28
5RP	8	24
5RP	9	16
7.5RP	1	16
7.5RP	2	20
7.5RP	3	22
7.5RP	4	26
7.5RP	5	30
7.5RP	6	30
7.5RP	7	26
7.5RP	8	22
7.5RP	9	14
10RP	1	16
10RP	2	18
10RP	3	20
10RP	4	24
10RP	5	28
10RP	6	28
10RP	7	24
10RP	8	20
10RP	9	14
