1.5	2.0	2.5	3.0	3.5	4.0	4.5	5.0	5.5	6.0	6.5	7.0	7.5	8.0	8.5	9.0
2.2R 1.5/1.6	1.0R 2.0/6.6	10.0RP 2.5/9.2	8.6RP 3.0/12.0	8.4RP 3.5/14.9	8.1RP 4.0/17.7	7.8RP 4.5/18.3	7.5RP 5.0/18.2	7.2RP 5.5/17.1	6.9RP 6.0/15.6	6.6RP 6.5/13.7	6.4RP 7.0/12.1	6.1RP 7.5/9.8	5.8RP 8.0/7.4	5.6RP 8.5/4.9	5.3RP 9.0/2.6
5.5R 1.5/2.6	3.9R 2.0/6.5	3.0R 2.5/9.4	1.4R 3.0/11.8	1.2R 3.5/13.7	0.9R 4.0/15.8	0.6R 4.5/16.5	0.2R 5.0/16.8	9.9RP 5.5/16.4	9.6RP 6.0/15.3	9.4RP 6.5/13.5	9.1RP 7.0/11.4	8.9RP 7.5/9.4	8.8RP 8.0/7.3	8.5RP 8.5/4.6	8.2RP 9.0/2.3
8.7R 1.5/2.3	6.7R 2.0/7.2	5.8R 2.5/10.0	4.4R 3.0/12.5	4.0R 3.5/14.4	3.6R 4.0/16.2	3.4R 4.5/16.6	3.2R 5.0/16.9	3.0R 5.5/16.5	2.7R 6.0/15.5	2.4R 6.5/13.9	2.1R 7.0/11.7	2.0R 7.5/9.2	1.9R 8.0/7.0	1.7R 8.5/4.6	1.7R 9.0/2.6
1.2YR 1.5/6.6	9.4R 2.0/9.7	8.5R 2.5/11.6	7.0R 3.0/13.5	6.6R 3.5/15.0	6.1R 4.0/17.2	5.8R 4.5/17.6	5.7R 5.0/17.5	5.6R 5.5/17.0	5.5R 6.0/16.2	5.5R 6.5/14.4	5.4R 7.0/12.1	5.4R 7.5/9.7	5.3R 8.0/7.2	5.1R 8.5/4.7	5.0R 9.0/2.6
3.2YR 1.5/4.5	1.5YR 2.0/7.7	0.7YR 2.5/9.9	9.5R 3.0/12.2	8.8R 3.5/14.8	8.1R 4.0/17.7	7.9R 4.5/18.6	7.8R 5.0/18.6	7.8R 5.5/17.6	7.8R 6.0/16.6	7.9R 6.5/14.5	8.1R 7.0/12.1	8.2R 7.5/9.5	8.2R 8.0/7.1	8.2R 8.5/4.5	8.1R 9.0/2.4
5.7YR 1.5/1.5	4.3YR 2.0/3.8	3.3YR 2.5/6.0	2.1YR 3.0/8.0	1.4YR 3.5/10.6	0.4YR 4.0/13.5	9.8R 4.5/16.3	9.3R 5.0/18.3	9.3R 5.5/18.8	9.4R 6.0/18.4	9.8R 6.5/16.4	0.2YR 7.0/14.0	0.7YR 7.5/11.1	0.8YR 8.0/8.5	0.9YR 8.5/5.6	1.0YR 9.0/3.0
8.7YR 1.5/0.6	7.0YR 2.0/2.6	6.2YR 2.5/4.4	5.2YR 3.0/6.3	4.5YR 3.5/8.1	3.8YR 4.0/10.2	3.1YR 4.5/12.0	2.4YR 5.0/14.2	2.0YR 5.5/16.2	1.6YR 6.0/17.8	1.7YR 6.5/18.5	2.2YR 7.0/17.3	2.8YR 7.5/14.8	3.3YR 8.0/11.6	3.6YR 8.5/7.8	3.6YR 9.0/4.0
0.7Y 1.5/0.7	9.6YR 2.0/2.5	8.9YR 2.5/4.0	8.3YR 3.0/5.9	7.8YR 3.5/7.4	7.2YR 4.0/9.1	6.7YR 4.5/10.8	6.2YR 5.0/12.4	5.9YR 5.5/13.9	5.5YR 6.0/15.4	5.2YR 6.5/16.8	5.1YR 7.0/17.9	5.4YR 7.5/17.2	6.1YR 8.0/13.6	6.5YR 8.5/9.6	6.3YR 9.0/5.5
2.7Y 1.5/0.8	2.1Y 2.0/2.5	1.9Y 2.5/3.7	1.6Y 3.0/5.0	1.4Y 3.5/6.0	1.2Y 4.0/7.4	1.0Y 4.5/8.3	0.7Y 5.0/9.8	0.4Y 5.5/11.0	0.2Y 6.0/12.6	9.8YR 6.5/14.4	9.5YR 7.0/16.1	9.3YR 7.5/17.7	9.3YR 8.0/17.8	9.8YR 8.5/12.9	9.5YR 9.0/7.3
5.3Y 1.5/0.6	4.9Y 2.0/2.0	5.1Y 2.5/3.0	5.0Y 3.0/4.2	5.1Y 3.5/5.2	5.0Y 4.0/6.3	5.0Y 4.5/7.5	4.9Y 5.0/8.5	4.8Y 5.5/9.7	4.6Y 6.0/10.8	4.5Y 6.5/11.9	4.4Y 7.0/13.0	4.3Y 7.5/14.1	4.2Y 8.0/15.3	4.0Y 8.5/15.9	3.7Y 9.0/12.9
8.2Y 1.5/1.3	8.4Y 2.0/2.6	8.7Y 2.5/3.4	8.8Y 3.0/4.4	9.0Y 3.5/5.2	9.2Y 4.0/6.2	9.2Y 4.5/7.0	9.3Y 5.0/7.9	9.4Y 5.5/8.8	9.5Y 6.0/9.8	9.7Y 6.5/10.9	9.7Y 7.0/11.7	9.8Y 7.5/12.8	9.8Y 8.0/13.7	9.9Y 8.5/14.4	9.7Y 9.0/14.6
1.0GY 1.5/1.5	1.6GY 2.0/3.0	2.1GY 2.5/4.0	2.4GY 3.0/5.2	2.7GY 3.5/6.2	3.0GY 4.0/7.3	3.2GY 4.5/8.2	3.4GY 5.0/9.3	3.6GY 5.5/10.3	3.9GY 6.0/11.5	3.9GY 6.5/12.1	4.0GY 7.0/12.8	4.0GY 7.5/13.1	4.1GY 8.0/13.7	3.9GY 8.5/13.0	3.4GY 9.0/11.2
3.1GY 1.5/0.7	4.0GY 2.0/2.6	4.6GY 2.5/3.7	5.0GY 3.0/5.0	5.4GY 3.5/6.2	5.6GY 4.0/7.3	5.8GY 4.5/8.3	6.0GY 5.0/9.5	6.1GY 5.5/10.4	6.3GY 6.0/11.5	6.4GY 6.5/12.4	6.5GY 7.0/13.3	6.5GY 7.5/13.7	6.5GY 8.0/13.7	6.3GY 8.5/11.7	5.9GY 9.0/6.6
5.8GY 1.5/1.0	6.5GY 2.0/3.4	6.9GY 2.5/5.0	7.3GY 3.0/6.6	7.5GY 3.5/7.5	7.8GY 4.0/8.6	7.9GY 4.5/9.8	8.1GY 5.0/10.8	8.2GY 5.5/11.9	8.3GY 6.0/12.8	8.4GY 6.5/13.2	8.4GY 7.0/13.7	8.4GY 7.5/13.7	8.4GY 8.0/12.8	8.2GY 8.5/9.3	7.9GY 9.0/4.6
8.0GY 1.5/1.5	8.7GY 2.0/3.9	9.1GY 2.5/5.7	9.4GY 3.0/7.3	9.6GY 3.5/8.6	9.9GY 4.0/9.7	10.0GY 4.5/11.0	0.1G 5.0/12.2	0.1G 5.5/13.2	0.2G 6.0/14.1	0.3G 6.5/14.4	0.3G 7.0/14.8	0.4G 7.5/13.5	0.4G 8.0/11.4	0.3G 8.5/8.3	0.3G 9.0/4.2
0.6G 1.5/1.6	0.9G 2.0/4.2	1.1G 2.5/6.3	1.3G 3.0/8.3	1.3G 3.5/10.0	1.4G 4.0/11.6	1.4G 4.5/12.6	1.5G 5.0/13.7	1.5G 5.5/14.2	1.7G 6.0/14.3	1.8G 6.5/14.2	2.0G 7.0/13.8	2.1G 7.5/12.2	2.3G 8.0/9.7	2.4G 8.5/6.9	2.5G 9.0/2.8
3.9G 1.5/1.9	3.4G 2.0/4.9	3.2G 2.5/7.0	3.2G 3.0/9.1	3.2G 3.5/10.5	3.2G 4.0/11.9	3.3G 4.5/13.2	3.4G 5.0/14.5	3.5G 5.5/15.1	3.8G 6.0/15.0	4.0G 6.5/14.1	4.3G 7.0/12.4	4.6G 7.5/10.5	4.8G 8.0/8.5	5.2G 8.5/5.5	5.9G 9.0/2.2
7.3G 1.5/2.8	7.1G 2.0/5.4	6.9G 2.5/7.3	6.7G 3.0/9.3	6.6G 3.5/10.8	6.6G 4.0/11.8	6.8G 4.5/12.6	6.9G 5.0/13.8	7.1G 5.5/14.1	7.4G 6.0/14.1	7.8G 6.5/13.3	8.3G 7.0/12.3	8.6G 7.5/10.7	9.1G 8.0/8.3	9.6G 8.5/5.2	0.2BG 9.0/2.4
0.9BG 1.5/2.3	0.8BG 2.0/5.6	0.8BG 2.5/7.9	0.9BG 3.0/9.9	1.0BG 3.5/11.2	1.1BG 4.0/12.2	1.3BG 4.5/13.1	1.5BG 5.0/13.7	1.7BG 5.5/14.0	2.0BG 6.0/13.6	2.3BG 6.5/12.6	2.6BG 7.0/11.9	2.9BG 7.5/10.0	3.3BG 8.0/7.9	3.8BG 8.5/5.3	4.4BG 9.0/2.7
3.4BG 1.5/1.7	3.6BG 2.0/4.5	3.8BG 2.5/6.6	4.0BG 3.0/8.5	4.1BG 3.5/9.8	4.4BG 4.0/11.0	4.6BG 4.5/11.6	4.8BG 5.0/12.3	5.0BG 5.5/12.4	5.3BG 6.0/12.3	5.6BG 6.5/11.3	5.9BG 7.0/10.1	6.2BG 7.5/8.4	6.5BG 8.0/6.4	6.9BG 8.5/4.4	7.2BG 9.0/2.4
5.5BG 1.5/1.2	6.0BG 2.0/4.6	6.3BG 2.5/6.5	6.8BG 3.0/8.1	7.0BG 3.5/8.8	7.3BG 4.0/9.3	7.6BG 4.5/9.5	7.9BG 5.0/9.6	8.1BG 5.5/9.4	8.3BG 6.0/9.2	8.6BG 6.5/8.3	8.9BG 7.0/7.6	9.2BG 7.5/6.4	9.6BG 8.0/4.5	10.0BG 8.5/2.8	0.3B 9.0/1.4
N1.5	8.5BG 2.0/3.0	8.8BG 2.5/3.8	9.2BG 3.0/5.7	9.5BG 3.5/7.3	9.8BG 4.0/9.2	0.0B 4.5/10.4	0.4B 5.0/11.0	0.6B 5.5/11.6	0.9B 6.0/11.0	1.1B 6.5/10.1	1.4B 7.0/8.9	1.8B 7.5/7.0	2.4B 8.0/5.2	2.7B 8.5/3.0	2.8B 9.0/0.9
9.8BG 1.5/0.5	0.9B 2.0/3.0	1.2B 2.5/4.5	1.6B 3.0/6.2	1.9B 3.5/7.7	2.2B 4.0/8.8	2.5B 4.5/9.8	2.8B 5.0/10.7	2.9B 5.5/11.4	3.1B 6.0/11.2	3.4B 6.5/10.3	3.7B 7.0/8.7	4.0B 7.5/7.3	4.5B 8.0/5.2	4.8B 8.5/3.4	5.1B 9.0/1.5
3.3B 1.5/2.2	3.4B 2.0/4.8	3.5B 2.5/6.6	3.8B 3.0/8.2	4.0B 3.5/9.4	4.3B 4.0/10.5	4.4B 4.5/11.2	4.6B 5.0/11.8	4.8B 5.5/12.1	4.9B 6.0/11.8	5.2B 6.5/10.6	5.7B 7.0/9.2	6.2B 7.5/7.5	6.8B 8.0/5.7	7.4B 8.5/3.6	7.7B 9.0/2.0
6.0B 1.5/1.7	6.0B 2.0/3.8	5.8B 2.5/5.9	5.9B 3.0/7.8	6.0B 3.5/9.4	6.2B 4.0/11.2	6.4B 4.5/11.7	6.7B 5.0/12.0	6.9B 5.5/12.0	7.2B 6.0/11.4	7.5B 6.5/10.2	8.1B 7.0/8.8	8.6B 7.5/7.1	9.1B 8.0/5.2	9.6B 8.5/3.1	0.2PB 9.0/1.2
8.4B 1.5/1.9	8.0B 2.0/5.0	7.8B 2.5/7.3	8.0B 3.0/9.4	8.1B 3.5/11.6	8.4B 4.0/13.2	8.6B 4.5/13.4	8.9B 5.0/13.6	9.2B 5.5/12.8	9.5B 6.0/11.9	9.8B 6.5/10.7	0.2PB 7.0/9.0	0.6PB 7.5/7.3	1.0PB 8.0/5.4	1.4PB 8.5/3.5	1.7PB 9.0/1.4
0.5PB 1.5/2.5	0.3PB 2.0/5.6	0.3PB 2.5/7.7	0.4PB 3.0/9.7	0.5PB 3.5/11.0	0.7PB 4.0/12.6	0.9PB 4.5/13.6	1.1PB 5.0/14.0	1.3PB 5.5/12.7	1.6PB 6.0/11.6	1.9PB 6.5/10.1	2.3PB 7.0/8.5	2.6PB 7.5/6.9	3.0PB 8.0/5.2	3.2PB 8.5/3.5	3.6PB 9.0/2.1
2.7PB 1.5/2.9	2.2PB 2.0/7.1	2.0PB 2.5/9.5	2.2PB 3.0/11.8	2.3PB 3.5/13.1	2.5PB 4.0/14.8	2.7PB 4.5/14.8	3.1PB 5.0/14.2	3.6PB 5.5/12.4	3.9PB 6.0/11.3	4.2PB 6.5/9.8	4.5PB 7.0/8.4	4.9PB 7.5/6.7	5.1PB 8.0/5.2	5.2PB 8.5/3.6	5.5PB 9.0/2.1
5.2PB 1.5/1.9	4.9PB 2.0/6.4	4.3PB 2.5/10.0	4.3PB 3.0/12.7	4.5PB 3.5/14.0	4.9PB 4.0/14.7	5.2PB 4.5/14.5	5.4PB 5.0/14.0	5.6PB 5.5/13.0	5.9PB 6.0/11.4	6.1PB 6.5/10.0	6.3PB 7.0/8.5	6.7PB 7.5/6.3	6.9PB 8.0/4.8	7.1PB 8.5/3.2	7.2PB 9.0/1.5
6.7PB 1.5/3.9	6.0PB 2.0/8.6	5.5PB 2.5/13.1	5.6PB 3.0/15.4	5.8PB 3.5/16.0	6.2PB 4.0/16.1	6.6PB 4.5/15.2	7.0PB 5.0/13.8	7.4PB 5.5/11.9	7.7PB 6.0/10.5	8.1PB 6.5/8.8	8.4PB 7.0/7.2	8.8PB 7.5/6.0	9.0PB 8.0/4.7	9.2PB 8.5/3.4	9.2PB 9.0/1.9
8.2PB 1.5/5.8	7.1PB 2.0/11.7	6.7PB 2.5/15.2	7.5PB 3.0/20.0	7.3PB 3.5/17.2	8.1PB 4.0/16.2	8.8PB 4.5/14.5	9.3PB 5.0/13.2	9.7PB 5.5/11.7	0.2P 6.0/10.1	0.6P 6.5/8.5	0.9P 7.0/7.4	1.3P 7.5/6.0	1.6P 8.0/4.5	1.8P 8.5/3.3	2.0P 9.0/1.8
8.8PB 1.5/12.8	8.8PB 2.0/16.4	8.9PB 2.5/18.0	9.4PB 3.0/19.0	0.1P 3.5/18.5	0.8P 4.0/17.9	1.4P 4.5/16.0	2.0P 5.0/14.2	2.5P 5.5/12.7	3.0P 6.0/11.1	3.4P 6.5/9.7	3.8P 7.0/8.3	4.2P 7.5/6.7	4.6P 8.0/5.2	5.0P 8.5/3.7	5.2P 9.0/2.1
3.6P 1.5/12.4	3.7P 2.0/15.3	3.9P 2.5/16.7	4.2P 3.0/18.1	4.5P 3.5/18.5	4.8P 4.0/19.3	5.2P 4.5/18.6	5.5P 5.0/17.2	5.8P 5.5/15.4	6.0P 6.0/13.5	6.2P 6.5/11.5	6.3P 7.0/9.7	6.4P 7.5/7.7	6.5P 8.0/6.2	6.5P 8.5/4.3	6.6P 9.0/2.6
