Description:
Draft: This file expresses sRGB colours in the Munsell system.  The first
three columns are the R, G, and B components in the sRGB system, varying
from 0 to 255.  The next three columns are the Munsell hue (H), value (V), and
chroma (C).  4096 conversions were attempted.  Some sRGB colours are beyond
the MacAdam limits, meaning that they cannot be produced as surface colours.
Therefore, those colours are not in the Munsell system.  In addition, colours
near the MacAdam limits are difficult to convert to the Munsell system, so
so sometimes the conversion failed.  In all, 3879 of the 4096 sRGB colours were
successfully converted.

[Newhall1943] S. M. Newhall, D. Nickerson, & D. B. Judd, "Final
        Report of the O.S.A. Subcommittee on the Spacing of the Munsell
        Colors," Journal of the Optical Society of America, Vol. 33,
        Issue 7, pp. 385-418, 1943.

DESCRIPTION ENDS HERE
 R	 G	 B	  H	  V	  C
0	0	0	N	 0.00	 0.00
0	34	17	1.36G	 1.00	 3.83
0	34	34	3.05BG	 1.06	 2.95
0	34	51	6.60B	 1.14	 3.14
0	34	68	3.37PB	 1.26	 4.97
0	34	85	5.54PB	 1.40	 6.99
0	34	102	6.10PB	 1.57	 9.06
0	34	119	6.40PB	 1.75	11.29
0	34	153	6.67PB	 2.15	15.47
0	51	0	8.02GY	 1.70	 6.15
0	51	17	9.65GY	 1.72	 5.38
0	51	34	3.47G	 1.76	 4.50
0	51	51	3.37BG	 1.81	 3.80
0	51	68	4.02B	 1.89	 3.82
0	51	85	1.19PB	 1.99	 5.27
0	51	102	4.55PB	 2.11	 7.08
0	51	119	5.70PB	 2.24	 9.05
0	51	136	6.18PB	 2.39	11.13
0	51	153	6.45PB	 2.55	13.20
0	51	170	6.61PB	 2.72	15.19
0	51	204	6.82PB	 3.08	19.40
0	51	221	6.87PB	 3.26	21.23
0	68	0	8.58GY	 2.39	 7.99
0	68	17	9.51GY	 2.40	 7.36
0	68	34	1.24G	 2.42	 6.47
0	68	51	5.50G	 2.46	 5.35
0	68	68	3.71BG	 2.52	 4.51
0	68	85	2.21B	 2.59	 4.24
0	68	102	9.13B	 2.67	 5.28
0	68	119	2.90PB	 2.77	 7.03
0	68	136	5.12PB	 2.88	 9.12
0	68	153	5.85PB	 3.01	11.28
0	68	170	6.25PB	 3.15	13.28
0	68	187	6.49PB	 3.29	15.22
0	68	204	6.65PB	 3.45	17.19
0	68	221	6.78PB	 3.61	19.19
0	68	238	6.87PB	 3.77	21.18
0	68	255	6.94PB	 3.95	23.32
0	85	0	8.90GY	 3.02	 9.42
0	85	17	9.56GY	 3.03	 8.80
0	85	34	0.66G	 3.05	 7.98
0	85	51	2.28G	 3.08	 6.85
0	85	68	7.13G	 3.12	 5.72
0	85	85	4.03BG	 3.17	 4.96
0	85	102	1.16B	 3.24	 4.73
0	85	119	7.36B	 3.31	 5.63
0	85	136	1.51PB	 3.40	 7.28
0	85	153	3.98PB	 3.50	 9.24
0	85	170	5.36PB	 3.61	11.31
0	85	187	5.94PB	 3.74	13.45
0	85	204	6.31PB	 3.86	15.53
0	85	221	6.57PB	 4.00	17.61
0	85	238	6.73PB	 4.15	19.23
0	85	255	6.85PB	 4.30	21.01
0	102	0	9.08GY	 3.63	10.18
0	102	17	9.54GY	 3.64	 9.68
0	102	34	0.31G	 3.65	 8.96
0	102	51	1.42G	 3.68	 8.11
0	102	68	3.42G	 3.71	 7.02
0	102	85	8.33G	 3.75	 6.10
0	102	102	4.30BG	 3.80	 5.50
0	102	119	0.55B	 3.86	 5.39
0	102	136	6.11B	 3.93	 6.25
0	102	153	0.36PB	 4.02	 7.78
0	102	170	2.88PB	 4.11	 9.67
0	102	187	4.77PB	 4.21	11.65
0	102	204	5.60PB	 4.32	13.59
0	102	221	6.07PB	 4.44	15.48
0	102	238	6.38PB	 4.56	17.29
0	102	255	6.61PB	 4.70	19.02
0	119	0	9.26GY	 4.22	11.16
0	119	17	9.61GY	 4.23	10.73
0	119	34	0.20G	 4.24	10.13
0	119	51	0.94G	 4.26	 9.33
0	119	68	2.06G	 4.28	 8.36
0	119	85	4.46G	 4.32	 7.43
0	119	102	9.31G	 4.36	 6.65
0	119	119	4.58BG	 4.41	 6.13
0	119	136	0.04B	 4.47	 5.99
0	119	153	5.03B	 4.54	 6.66
0	119	170	9.15B	 4.62	 8.03
0	119	187	1.84PB	 4.70	 9.80
0	119	204	3.82PB	 4.80	11.72
0	119	221	5.20PB	 4.90	13.66
0	119	238	5.79PB	 5.01	15.54
0	119	255	6.19PB	 5.13	17.21
0	136	0	9.42GY	 4.81	12.33
0	136	17	9.68GY	 4.81	11.94
0	136	34	0.10G	 4.82	11.37
0	136	51	0.62G	 4.83	10.67
0	136	68	1.45G	 4.85	 9.83
0	136	85	2.77G	 4.88	 8.96
0	136	102	5.42G	 4.92	 8.06
0	136	119	0.18BG	 4.96	 7.37
0	136	136	4.86BG	 5.01	 6.92
0	136	153	9.79BG	 5.07	 6.71
0	136	170	4.39B	 5.14	 7.24
0	136	187	8.09B	 5.21	 8.48
0	136	204	0.96PB	 5.30	10.07
0	136	221	2.91PB	 5.38	11.74
0	136	238	4.55PB	 5.48	13.50
0	136	255	5.44PB	 5.58	15.11
0	153	0	9.54GY	 5.38	13.55
0	153	17	9.73GY	 5.38	13.20
0	153	34	0.06G	 5.39	12.64
0	153	51	0.46G	 5.40	11.95
0	153	68	1.06G	 5.42	11.12
0	153	85	1.98G	 5.45	10.29
0	153	102	3.60G	 5.48	 9.50
0	153	119	6.39G	 5.51	 8.61
0	153	136	0.90BG	 5.56	 7.87
0	153	153	5.09BG	 5.61	 7.38
0	153	170	9.63BG	 5.67	 7.24
0	153	187	3.87B	 5.73	 7.67
0	153	204	7.22B	 5.80	 8.83
0	153	221	0.19PB	 5.88	10.34
0	153	238	2.13PB	 5.97	11.87
0	153	255	3.75PB	 6.06	13.46
0	170	0	9.64GY	 5.95	14.74
0	170	17	9.79GY	 5.95	14.42
0	170	34	0.06G	 5.96	13.94
0	170	51	0.37G	 5.97	13.36
0	170	68	0.86G	 5.99	12.63
0	170	85	1.58G	 6.01	11.83
0	170	102	2.61G	 6.04	10.99
0	170	119	4.28G	 6.07	10.14
0	170	136	7.25G	 6.11	 9.28
0	170	153	1.54BG	 6.15	 8.52
0	170	170	5.42BG	 6.20	 8.00
0	170	187	9.55BG	 6.26	 7.88
0	170	204	3.43B	 6.32	 8.20
0	170	221	6.55B	 6.39	 9.15
0	170	238	9.39B	 6.47	10.43
0	170	255	1.42PB	 6.55	11.78
0	187	0	9.71GY	 6.52	15.79
0	187	17	9.82GY	 6.52	15.52
0	187	34	0.04G	 6.53	15.08
0	187	51	0.32G	 6.54	14.57
0	187	68	0.74G	 6.55	13.90
0	187	85	1.29G	 6.57	13.07
0	187	102	2.05G	 6.59	12.19
0	187	119	3.24G	 6.62	11.39
0	187	136	4.80G	 6.66	10.53
0	187	153	8.07G	 6.70	 9.76
0	187	170	2.12BG	 6.74	 9.08
0	187	187	5.73BG	 6.79	 8.64
0	187	204	9.48BG	 6.85	 8.53
0	187	221	3.08B	 6.91	 8.79
0	187	238	5.95B	 6.98	 9.49
0	187	255	8.71B	 7.05	10.53
0	204	0	9.78GY	 7.08	16.97
0	204	17	9.88GY	 7.09	16.72
0	204	34	0.05G	 7.09	16.34
0	204	51	0.32G	 7.10	15.92
0	204	68	0.69G	 7.11	15.34
0	204	85	1.17G	 7.13	14.61
0	204	102	1.78G	 7.15	13.70
0	204	119	2.54G	 7.18	12.66
0	204	136	3.79G	 7.21	11.85
0	204	153	5.49G	 7.24	10.99
0	204	170	8.83G	 7.28	10.24
0	204	187	2.62BG	 7.33	 9.60
0	204	204	5.99BG	 7.38	 9.16
0	204	221	9.50BG	 7.44	 8.98
0	204	238	2.84B	 7.50	 9.09
0	204	255	5.34B	 7.56	 9.57
0	221	0	9.84GY	 7.65	17.82
0	221	17	9.91GY	 7.65	17.61
0	221	34	0.05G	 7.65	17.29
0	221	51	0.28G	 7.66	16.91
0	221	68	0.59G	 7.67	16.39
0	221	85	1.01G	 7.69	15.72
0	221	102	1.53G	 7.70	14.93
0	221	119	2.16G	 7.73	14.03
0	221	136	3.06G	 7.75	13.07
