Description:
This file lists sRGB centroids for the colour categories of the ISCC-NBS system.
The ISCC-NBS system has three levels, each with different categories.  The file
lists the Level 1 centroids first, followed by the Level 2 and 3 centroids.
No sRGB centroids are available for 7 of the 267 Level 3 categories, so these
are indicated with NaN.

DESCRIPTION ENDS HERE
Number	 Name	 R	 G	 B
1	Pink	230	134	151
2	Red	185	40	66
3	Orange	220	125	52
4	Brown	127	72	41
5	Yellow	217	180	81
6	Olive	114	103	44
7	Yellow green	160	194	69
8	Green	79	191	154
9	Blue	59	116	192
10	Purple	172	74	195
11	White	231	225	233
12	Gray	147	142	147
13	Black	43	41	43
LEVEL 1 INFORMATION ENDS HERE
1	Pink	230	134	151
2	Red	185	40	66
3	Yellowish pink	234	154	144
4	Reddish orange	215	71	42
5	Reddish brown	122	44	38
6	Orange	220	125	52
7	Brown	127	72	41
8	Orange yellow	227	160	69
9	Yellowish brown	151	107	57
10	Yellow	217	180	81
11	Olive brown	127	97	41
12	Greenish yellow	208	196	69
13	Olive	114	103	44
14	Yellow green	160	194	69
15	Olive green	62	80	31
16	Yellowish green	74	195	77
17	Green	79	191	154
18	Bluish green	67	189	184
19	Greenish blue	62	166	198
20	Blue	59	116	192
21	Purplish blue	79	71	198
22	Violet	120	66	197
23	Purple	172	74	195
24	Reddish purple	187	48	164
25	Purplish pink	229	137	191
26	Purplish red	186	43	119
27	White	231	225	233
28	Gray	147	142	147
29	Black	43	41	43
LEVEL 2 INFORMATION ENDS HERE
1	Vivid pink	253	121	146
2	Strong pink	244	143	160
3	Deep pink	230	105	128
4	Light pink	248	195	206
5	Moderate pink	226	163	174
6	Dark pink	197	128	138
7	Pale pink	239	209	220
8	Grayish pink	203	173	183
9	Pinkish white	239	221	229
10	Pinkish gray	199	182	189
11	Vivid red	213	28	60
12	Strong red	191	52	75
13	Deep red	135	18	45
14	Very deep red	92	6	37
15	Moderate red	177	73	85
16	Dark red	116	36	52
17	Very dark red	72	17	39
18	Light grayish red	180	136	141
19	Grayish red	152	93	98
20	Dark grayish red	83	56	62
21	Blackish red	51	33	39
22	Reddish gray	146	129	134
23	Dark reddish gray	93	78	83
24	Reddish black	48	38	43
25	Vivid yellowish pink	253	126	93
26	Strong yellowish pink	245	144	128
27	Deep yellowish pink	239	99	102
28	Light yellowish pink	248	196	182
29	Moderate yellowish pink	226	166	152
30	Dark yellowish pink	201	128	126
31	Pale yellowish pink	241	211	209
32	Grayish yellowish pink	203	172	172
33	Brownish pink	203	175	167
34	Vivid reddish orange	232	59	27
35	Strong reddish orange	219	93	59
36	Deep reddish orange	175	51	24
37	Moderate reddish orange	205	105	82
38	Dark reddish orange	162	64	43
39	Grayish reddish orange	185	117	101
40	Strong reddish brown	139	28	14
41	Deep reddish brown	97	15	18
42	Light reddish brown	172	122	115
43	Moderate reddish brown	125	66	59
44	Dark reddish brown	70	29	30
45	Light grayish reddish brown	158	127	122
46	Grayish reddish brown	108	77	75
47	Dark grayish reddish brown	67	41	42
48	Vivid orange	247	118	11
49	Brilliant orange	NaN	NaN	NaN
50	Strong orange	234	129	39
51	Deep orange	194	96	18
52	Light orange	251	175	130
53	Moderate orange	222	141	92
54	Brownish orange	178	102	51
55	Strong brown	138	68	22
56	Deep brown	87	26	7
57	Light brown	173	124	99
58	Moderate brown	114	74	56
59	Dark brown	68	33	18
60	Light grayish brown	153	127	117
61	Grayish brown	103	79	72
62	Dark grayish brown	62	44	40
63	Light brownish gray	146	130	129
64	Brownish gray	96	82	81
